ahkr201,Praksis i arbeidslivet
kjem350,Kvantitativ organisk analyse
kjem351,NMR-spektroskopi
kjem352,Utvalde emne i NMR-spektroskopi
kjem361,Teoretisk og praktisk røntgenstrukturregel av einkrystallar
kjem399,Masteroppgåve i kjemi
kjem399k,Masteroppgåve i kjemi
kjemdi300,Kjemididaktikk
kjemdid220,Kjemididaktikk
kjemdid220-p,Kjemididaktikk
kjemphd920,Molekylmodellering
kjemphd952,Utvalde emne i NMR-spektroskopi
klima200,Klimaforteljingar
kmd-mus-201,Musikkterapi fellesaktivitet
kmd-mus-202,Fellestime sang
kmd-mus-203,Fellestime komposisjon
kmd-mus-204,Fellestime Piano
kmd-mus-205,Fellestime stryk
kmd-mus-206,Fellestime klarinett
kmd-mus-207,Fellestime gitar
kmd-mus-208,Huskonsert
kmd-mus-209,Orkesterstudier
kmd-mus-210,Treblåsforum
kmd-mus-211,Messingforum
kmd-mus-212,Ensembleforum jazz
kmdintro-001,Verkstedstilgang: fotostudio
kmdintro-002,Verkstedstilgang: Epson digital plotter
kmdintro-004,Verkstedstilgang: grafikk - silketrykk
kmdintro-005,Verkstedstilgang: grafikk - dyptrykk/høytrykk
kmdintro-006,Verkstedstilgang: keramikk
kmdintro-008,Verkstedstilgang: sikkerhetskurs metall for kunststudenter
kmdintro-009,Verkstedstilgang: sikkerhetskurs metall for designstudenter
kmdintro-010,Verkstedstilgang: sertifisering laserkutting og gravering
kmdintro-011,Verkstedstilgang: tekstil - vev
kmdintro-012,Verkstedstilgang: sikkerhetskurs treverksted for designstudenter
kmdintro-013,Verkstedstilgang: sikkerhetskurs treverksted for kunststudenter
kmdintro-014,Verkstedstilgang: sertifisering 3D-printing
kmdintro-015,Verkstedstilgang: medialab
kmdintro-016,Verkstedstilgang: lydstudio og medialab
kmdintro-017,Verkstedstilgang: videostudio
kmdintro-018,Verkstedstilgang: tekstil - trykk
kmdintro-019,Verkstedstilgang: gips
kmdintro-020,Verkstedstilgang: lakkrom
kmdintro-021,Verkstedstilgang: risograf
kmdintro-022,Verkstedstilgang: maleri
kmdintro-023,Verkstedstilgang: GA:Studio A
kmdintro-024,Verkstedstilgang: GA:Midi-studio
kmdintro-025,Verkstedstilgang: tekstil - digitalvev
kmdped201,Pedagogikk 1
kmdped202,Pedagogikk 2
kmdppu1,Praktisk-pedagogisk utdanning 1
kmdppu3,Praktisk-pedagogisk utdanning 3
kogstat,Statistikk for kognisjonsforsking
kogvit101,Introduction to the Cognitive Sciences
kop101,Koptisk
kopra101,Skulen og lærarrolla i praksis
kopra102,Læringsprosessar
kopra103,Planlegging og evaluering av undervising 
korps601,Skolekorpsleiing
kpdag1,Kampuspraksisdag 1: Mobbing 
kpdag2,Kampuspraksisdag 2: Ungdomskultur: Identitetar og utfordringar
kpdag3,Kampuspraksisdag 3: Digitale verktøy i skulen 
kpdag4,Kampuspraksisdag 4: Kontroversielle tema i skulen 
kpdag5-hfsv,Kampuspraksisdag 5: Fagdidaktisk førpraksissamling i fag 1
kpdag5-mn,Kampuspraksisdag 5 for realistar 
kpdag6,Kampuspraksisdag 6: Kontaktlærarrolla 
kpdag7,Kampuspraksisdag 7: Skulens hjelpeapparat
kpdag8-hfsv,Kampuspraksisdag 8: fagdidaktisk førpraksissamling i fag 2  
kpdag8-mn,Kampuspraksisdag 8 for realister: Undervisning for bærekraftig utvikling 
kpdag9-10,"Kampuspraksisdag 9 og 10: Lektorutdanningskonferansen ""Den lærande læraren"""
kun105,"Kunst og kultur i antikken, Bysants og tidleg mellomalder"
kun106,"Kunst, arkitektur og visuell kultur 1750-1950"
kun107,"Kunst og kultur i mellomalder, renessanse og barokk"
kun108,"Kunst, arkitektur og visuell kultur 1950-i dag "
kun201,Introduksjon til kunsthistoriefagets teori og historiografi
kun209,"Kunst, retorikk og lærdomstradisjonar i før- og tidlegmoderne tid"
kun250,Kunstane i antikken og mellomalderen og den klassiske tradisjonen
kun256,Områdestudium med bacheloroppgåve
kun260,"Kunst, arkitektur og visuell kultur i moderne og samtid"
kun311,Kunsthistorie: prosjektførebuing og oppfølging
kun312,Historiografi og teori
kun321,Forskingsformidling: Kunsthistorie i samfunnet
kun323,"Forskingsfordjupning i kunsthistorie: feltarbeid, fagmiljø og fellesskap"
kun350,Kunsthistorie mastergradsoppgåve 
kuoppl1,Opplæringsdel 1
kuoppl2,Opplæringsdel 2
kurator-1,MA kuratorpraksis 1. semester
kurator-2,MA kuratorpraksis 2. semester
kurator-3,MA kuratorpraksis 3. semester
kurator-4,MA kuratorpraksis 4. semester
kuvi100,Innføring i kulturvitskap
kuvi101,Mennesket i kulturen og kulturen i mennesket. Kulturvitskapelege syn på verda
kuvi104,Forteljing og fortolking frå folkeeventyr til falske nyheiter
kuvi105,Tinga og vi. Materialitet og meining
kuvi106,"Kjønn, seksualitet, kultur"
kuvi108,Museologi
kuvi250,Bacheloroppgåve i kulturvitskap
kuvi301,Frå teori til metode
kuvi302,Forskingsfelt og prosjektutvikling
kuvi305,Forsking i praksis
kuvi306,Frå innsamling til analyse
kuvi350,Mastergradsoppgåve i kulturvitskap
kvali-prog,Avsluttande kasuseksamen ved Kvalifiseringsprogrammet for tannlegar med utdanning utanfor EU/ EØS-området
kvik100,Kjønnsforskinga sine tenkjemåtar
kvik101,Kjønn i det moderne
kvik102,Likestilling og mangfald
kvik103,Skeiv teori med internasjonal digital studentutveksling  
kvik110,"Kjønnsforskinga si tenkemåtar, med utvida arbeidskrav"
kvik112,Likestilling og mangfald med arbeidslivspraksis 
kvik113,Skeiv teori med internasjonal digital studentutveksling
kvik201,Nyare teoriar om kjønn og seksualitet
kvik203,"Litteratur, kjønn og kultur"
kvik206,Kjønn og seksualitet i ein global kontekst
kvik223,"Litteratur, kultur, kjønn"
langpraksis1,Første langpraksisperiode 
langpraksis2,Andre langpraksisperiode
lapra101,Første praksisperiode
lapra102,Andre praksisperiode
las301,Kurs i forsøksdyrlære 
las303,"Kurs i forsøksdyrlære, spesialdel fisk "
las601,Kurs i forsøksdyrlære 
las603,"Kurs i forsøksdyrlære, spesialdel fisk "
lat100,Innføring i latin
lat102,Latin: Prosa og grammatikk I
lat104,Latin: Romersk poesi 1
lat105,Latinsk prosa og grammatikk II
lat107,Middelalderlatin
lat202,Latin: Romersk poesi 2
lat203,Latin: Stilskriving og romersk retorikk og filosofi
lat254,Latin: Fordypningsstudium med bacheloroppgåve
lat301,Latin tekstpensum I 
lat303,Latin valemne (masternivå)
lat307,Latin: Særpensum (masternivå)
lat308,Latin: Teori og metode med prosjektførebuing
lat350,Latin mastergradsoppgåve 
les100,Les og skriv
lex200,Ordkunnskap og norsk ordboksarbeid
ling111,Syntaks 
ling116,Semantikk
ling121,Fonologi
ling122,Språk og kognisjon
ling123,Språk og data
ling125,Morfologi
ling205,"Språkvariasjon i tid, rom og samfunn"
ling255,Temabasert bacheloroppgåve i språkvitskap
ling306,Eksperimentell psykolingvistikk
ling310,Datalingvistiske modellar og bruksområde
ling313,Metode for språklege mastergrader 
ling314,Språk på tvers av modalitetar
ling350,Lingvistikk mastergradsoppgåve
lingstat,Statistikk for språk- og kognisjonsforskning
llm399,Master's thesis (LL.M.) 
log110,Introduksjon til formallogikk
log111,Deduksjon og metalogikk
log112,Introduksjon til filosofisk logikk
log311,Deduksjon og metalogikk
logo310,Innføring i logopedi
logo318,Statistikkinnføring for logopedar
logo319,Forskingsmetode og forskningsetikk
logo320,Logopediske særemne
logo324,Vitskapsteori og forskingsetikk for logopedar
logo325,Fordjupningsemne
logo335,Praksis i logopedi
logo345,Masteroppgåve i logopedi
lsci649,Fasilitering av innovasjonsprosesser ved bruk av teknologi for ei berekraftig framtid 
lsci650,Avmystifisering av kunstig intelligens  
lsci652b,Nyttige data
lsci652d,Datareisen Prosjektarbeid
mab399,Masteroppgåve i anvend og utrekningsorientert matematikk
mab399k,Masteroppgåve i matematikk
mabarn326,Borns utvikling og velferd
mabarn329,Forsvarlig rettsanvendelse og rettsikkerhet i barnevernet
mabarn330,Masteroppgåve i Barnevern
mabarn431,"Endringsarbeid, tiltak og prosjektplanlegging"
mabarn435,Kunnskapsbasert barnevernfagleg praksis på individ- og systemnivå
mabva317,Childhood and parenting in diverse contexts
mabva401,Perspektiver på barn og familier i utsatte livssituasjoner
mabva402,Barnevernet sine beslutningsprosessar og rettslære
mabva431,"Innovasjon, tiltak og prosjektplanlegging "
mabva432,Praktisk barnevernsarbeid på system- og individnivå
mabva450,Masteroppgåve i barnevernsarbeid
man301,Introduksjon til manusutvikling for seriar
man302,Fordjuping i manusutvikling for seriar
man350,Utplassering og masteroppgåve
mant301b,Smerte som fenomen
mant303a,Radiologi
mant304b,Treningslære og rørsle
mant305b,Differensialdiagnostikk og laboratoriesvar 
mant306a,Trygdemedisin for primærkontakter
mant306b,Helse og kommunikasjon
mant308,Medisinske basalfag 
mant309,Farmakologi
mant311b,Manuellterapi 1
mant312a,Manuellterapi 2
mant320,Forskningsmetode og etikk
mant395,Masteroppgåve i manuellterapi
mantfar663,Farmakologi for manuellterapeutar
mantult664,"Vidareutdanning i ultralyd av muskelskjelettsystemet, Modul 1"
mantult665,"Vidareutdanning i ultralyd av muskelskjelettsystemet, Modul 2"
mapsyk301,Perspektiv i psykologisk vitskap
mapsyk302,Forskingsmetodar
mapsyk321,"Leiar-, team og organisasjonsutvikling"
mapsyk322,Arbeidsmiljøarbeid og konflikthandtering
mapsyk323,Praktisk utviklingsarbeid og rollen som intern og ekstern utviklingsagent: studentfirma
mapsyk330,Masteroppgåve i psykologi
mapsyk332,Menneskelege faktorar i kritiske situasjonar
mapsyk333,"Kognitivt mangfald på tvers av kultur, språk og tid"
mapsyk334,Risikopersepsjon og miljøåtferd
mapsyk335,Kulturelt mangfald i samfunn og arbeidsliv
mapsyk336,Kognitiv nevrovitskap
mapsyk337,Åtferd og nevrovitskap: Biologisk psykologi
mapsyk345,Masteroppgåve i arbeids- og organisasjonspsykologi
mapsyk351a,Forskingspraksis 1
mapsyk351b,Forskingspraksis 2
mapsyk360,Masteroppgåve i psykologi
mat100,Innføringsemne i matematikk
mat101,Brukarkurs i matematikk I
mat102,Brukarkurs i matematikk II
mat105,Matematikk for naturvitskap
mat111,Grunnkurs i matematikk I
mat112,Grunnkurs i matematikk II
mat121,Lineær algebra
mat131,Differensiallikningar
mat160,Innføring i numeriske metoder
mat211,Reell analyse
mat212,Funksjonar av fleire variable
mat213,Komplekse funksjonar
mat215,Mål- og integralteori
mat220,Algebra
mat221,Diskret matematikk
mat224,Kommutativ algebra
mat225,Talteori
mat227,Kombinatorikk 
mat228,"Algebraiske strukturer for differensialligninger, beregninger og løsningskurver"
mat229,Algebraisk geometri I
mat230,Dynamiske system
mat232,Funksjonalanalyse
mat234,Partielle differensiallikningar
mat236,Fourieranalyse
mat242,Topologi
mat243,Mangfaldigheiter
mat244,Algebraisk topologi
mat251,Klassisk og utrekningsorientert mekanikk
mat252,Kontinuumsmekanikk
mat253,Fluidmekanikk
mat254,Strøyming i porøse media
mat260,Numerisk løysing av differensiallikningar
mat261,Numerisk lineær algebra
mat262,Bildebehandling
mat264,Laboratoriekurs i reknevitskap
mat265,Parameterestimering og inverse problem
mat292,Prosjektarbeid i matematikk
mat311,Generell funksjonalanalyse
mat323,Representasjonsteori
mat326,Algebraisk geometri II
mat327,Algebraisk geometri III
mat330,Utvalde emne i anvent og utrekningsorientert matematikk
mat331,Utvalde emne i analyse
mat342,Differensialgeometri
mat343,Utvalde emner i  topologi
mat345,Kohomologi
mat360,Endeleg-element-metoden og områdedekomponering
mat361,Bevaringsmetodar for hyperbolske differensiallikningar
mat362,Bevaringsmetodar for elliptiske differensiallikningar
mat399,Masteroppgåve i matematikk
mat399k,Masteroppgåve i matematikk
mat600,Forkurs i matematikk for Erfaringsbasert Master
mat601,"Matematikk for lærarar på 8-13.trinn, nivå 1 - del A"
mat602,"Matematikk for lærarar på 8-13.trinn, nivå 1 - del B"
mat611,"Diskret matematikk og matematikken i oldtida, med digitale hjelpemiddel"
mat612,Matematikk i nyare tid og utvalde emne med digitale hjelpemiddel
mat625,Algoritmisk tenking og programmering i matematikkfaget
mat641,Diskret matematikk
mat642,Matematikkens historie - matematikken i oldtida
mat643,Matematikkens historie - matematikken i nyare tid
mat644,Algebra
mat647,Didaktisk modellering
mat690,Masterseminar i matematikkdidaktikk
mat699,Masteroppgåve i matematikkdidatikk
matdi300,Matematikkdidaktikk
matdid210,Matematikkdidaktikk 1
matdid210-p,Matematikkdidaktikk 1
matdid220,Matematikkdidaktikk 2
matdid220-p,Matematikkdidaktikk 2
matdid350,Utvaldte emne i matematikkdidaktikk
matphd923,Representasjonsteori
matphd944,Algebraisk topologi
matphd953,Fluidmekanikk
matphd954,Strøyming i porøse media
matphd960,Endeleg-element-metoden og områdedekomponering
matsirk,Matematikksirkelen
mcb201,Introduksjon til innovasjon og entreprenørskap i Media City Bergen
med10,Tiande semester medisinstudiet
med10-2,Tiande semester medisinstudiet
med11,Ellevte semester medisinstudiet
med12,Tolvte semester medisinstudiet
med2,Andre semester medisinstudiet
med3,Tredje semester medisinstudiet
med4,Fjerde semester medisinstudiet
med4-mikr,Fjerde semester medisinstudiet - mikrobiologi
med5,Femte semester medisinstudiet
med6,Sjette semester medisinstudiet
med7,Sjuande semester medisinstudiet
med7-int,"Øre-nese-hals, øye og nevrologi"
med7-nev,Sjuande semester medisinstudiet nevrologi/nevrokirurgi
med7-onh,Sjuande semester medisinstudiet øre/nese/hals
med7-oye,Sjuande semester medisinstudiet øye
med7-psy,Sjuande semester medisinstudiet psykiatri
med8,Åttande semester medisinstudiet
med9,Niande semester medisinstudiet
med9-gen,Niande semester medisinstudiet medisinsk genetikk
meddid601,Innføring i medisinsk- og helsefaglig didaktikk 
meddid601h,Innføring i medisinsk- og helsefaglig didaktikk 
meddid601s,Innføring i medisinsk- og helsefaglig didaktikk 
medepi,Epidemiologi
medepidem-a,Epidemiologiske prinsipp og metodar
medfldel1,Forskning heltid 1
medfldel2,Forskning heltid 2
medflhel,Forskning heltid
medflopp,Forskarlina: Forskingsoppgåve
medflskriv,Forskning skriv
medform,Allmennmedisinsk forskningsformidling
medkval1,Kvalitative metoder i allmennmedisinsk forsking
medkvforsk2,Kvalitative forskningsmetoder - fordjuping i analysemetoder og tradisjonar
medmet901,Etikk og helseforskning
medod1,Første semester medisin- og odontologistudiet
medod2,Andre semester medisin- og odontologistudiet
medoppg,Hovudoppgåve
medpvei603,Rettleiing i praksis
medpvei603s,Rettleiing i praksis
medsta,Medisinsk statistikk
medsta2,Regresjonsmodellar i medisinsk forsking
medsta3,Analysis of longitudinal and correlated data
medstata,Medisinsk Statistikk med Stata
medstav10,Tiande semester Vestlandslegen Stavanger
medstav11,Ellevte semester Vestlandslegen Stavanger
medstav12,Tolvte semester Vestlandslegen Stavanger
medstav7,Sjuande semester Vestlandslegen Stavanger
medstav8,Åttande semester Vestlandslegen Stavanger
medstav9,Niande semester Vestlandslegen Stavanger
medstavoppg1,Hovudoppgåve del 1
medstavoppg2,Hovudoppgåve del 2
medtbl601,Innføring og praktisk gjennomføring av Teambasert Læring
meibm900,Midtveisevaluering ph.d. IBM
meigs900,Midtveisevaluering ph.d. IGS
meiko900,Midtveisevaluering ph.d. IKO
mek1900,Midtveisevaluering ph.d. K1
mek2900,Midtveisevaluering ph.d. K2
meme101,Introduksjon i tekstil
meme102,Introduksjon i keramikk og leire
meme103,Introduksjon i nye medium
meme104,Introduksjon i maleri
meme105,Introduksjon i fotografi
meme106,Introduksjon i grafikk
meme107,Introduksjon i performance
meme108,Introduksjon i skulptur
met102,Samfunnsvitskapleg metode
met103,Kvalitativ samfunnsvitskapleg metode
met104,Kvantitativ samfunnsvitskapleg metode
met900,Qualitative Digital Methods for Social Scientists
metmau660,Vitenskapeleg metode og delinga av erfaring
mevi101,Medier: Institusjonar og bransjeforståing
mevi102,Mediebruk: Teori og metode
mevi103,"Film, TV og visuell kultur: Fortolking og analyse"
mevi104,Retorikk og strategisk kommunikasjon
mevi111,Norwegian Media in a Comparative Perspective 
mevi120,Kvalitative metodar i medier og kommunikasjon
mevi121,"Medier, institusjonar og samfunn"
mevi122,Mediebruk og mediepåverknad
mevi123,"Film: Historie, teori, analyse"
mevi124,Retorikk og strategisk kommunikasjon
mevi125,Kvantitative metodar i medier og kommunikasjon
mevi203,Medieretorikk
mevi203b,Medieretorikk - bacheloroppgåve
mevi221,Medieinstitusjonar: Marknad og demokrati
mevi221b,Medieinstitusjonar: Marknad og demokrati - bacheloroppgåve
mevi222,Mediebruk: Identitet og samfunn
mevi222b,Mediebruk: Identitet og samfunn - bacheloroppgåve
mevi223,"Film, TV og visuell kultur: Historie og teori"
mevi223b,"Film, TV og visuell kultur: Historie og teori - bacheloroppgåve "
mevi224,Medieteknologi og samfunn
mevi224b,Medieteknologi og samfunn - Bacheloroppgåve
mevi231,"Medier, demokrati og marknad"
mevi232,Digital mediebruk
mevi233,"Visuell Kultur: Historie, teori, fortolking"
mevi243,Medieretorikk
mevi290,Bacheloroppgåve i medier og kommunikasjon
mevi301,Det globale medielandskapet
mevi302,Avansert mediebruksanalyse
mevi303,"Film, TV og visuell kultur"
mevi304,Strategisk kommunikasjon
mevi305,Journalistikkens samfunnskontrakt og makt
mevi310-10,Forskningserfaring og metode: Kva er ein god borgar? Demokrati og sosiale medium
mevi310-6,Forskingserfaring og metode: Retorikk og truverde i COVID-19-krisen
mevi310-8,"Forskningserfaring og metode:  Medias dekning av klimakrisa, årsakar og løysingar"
mevi310-9,Forskningserfaring og metode: Dataspelforteljingar
mevi340,Prosjektutvikling
mevi350,Masteroppgåve i medier og kommunikasjon
mevi390,Arbeidslivspraksis for mediestudentar
mevix100,Introduksjon til media og kommunikasjon
mevix101,"Introduksjon til medier og kommunikasjon: Fagtradisjoner, teoriar og akademisk skriving"
mevix102,Introduksjon til medier og kommunikasjon: Metode
mix100,Grunnkurs i medie- og interaksjonsdesign
mix114,Frontend-utvikling
mix203,Design for medieproduksjon
mix204,Design for mediebruk
mix250,Bacheloroppgåve i medie- og interaksjonsdesign
mix301,Medieteknologi: teori og utvikling
mix303,Forskingsdesign og metodar
mix333,Dataspelforteljingar
mix350,Masteroppgåve i medie- og interaksjonsdesign
mnf130,Diskrete strukturar
mnf201,Vitenskap i vår tid
mnf367,Realfagdidaktisk forskningsmetode og kritisk lesning av forskningslitteratur
mnf990,Vitenskapsteori med etikk
mnped101,Introduksjon til undervisning og læring for undervisningsassistentar og gruppeleiarar
mnped102,Undervisningsmetoder for læringsassistenter i matematikk
mnped660,Kollegialt lærarkurs for naturvitskap og matematikk
mob105,Tradisjonskunnskap 1
mob106,Musikkteori folkemusikk 1
mob107,Tradisjonskunnskap 2
mob108,Musikkteori folkemusikk 2
mob109,Hardingfelebygging 1
mob110,Felemakarhistorie
mob120,Folkemusikkutøving 1
mob121,Folkemusikkutøving 2
mob207,Bi-instrument for tradisjonsmusikk
mob208,Hardingfelebygging 2
mob209,Hardingfeledekor 1
mob210,Hardingfelebygging 3
mob211,Hardingfeledekor 2
mob212,Folkemusikkarrangering og samspel 1
mob213,Folkemusikkarrangering og samspel 2
mob214,Musisering til dans
mob215,"Stil, sjanger og tradisjon"
mob216,Folkedans
mob217,Folkedans påbygging
mob230,Folkemusikkutøving 3
mob231,Folkemusikkutøving 4
mob301,Folk Music Theory and Practice
mob350,Instrumental Studies and Ensemble
mobint301,Nordic Folk Music for Exchange Students
mofphd900,Avhandling ph.d.
mol100,Innføring i molekylærbiologi
mol102,Eksperimentell molekylærbiologi I
mol103,"Genstruktur, - funksjon og applikasjonar"
mol200,"Metabolisme; reaksjonar, regulering og kompartmentalisering"
mol201,Molekylær cellebiologi
mol204,Anvendt bioinformatikk
mol210,"LIPID: molekylære, cellulære og biokjemiske eigenskapar i helse og sjukdommar"
mol213,Utviklingsgenetikk
mol214,Nervesystemet sin molekylærbiologi
mol217,Anvendt Bioinformatikk II
mol220,"Teknikkar, modellsystem og aktuelle forskingstema i molekylærbiologi"
mol222,Eksperimentell molekylærbiologi II
mol231,Prosjektoppgåve i molekylærbiologi
mol232,Innovasjon i industriell bioteknologi
mol270,Bioetikk 
mol300,Praktisk biokjemi og molekylærbiologi
mol310,Strukturell Molekylærbiologi
mol399,Masteroppgåve i molekylærbiologi
molphd913,Utviklingsgenetikk
mtek100,Innføring i medisinsk teknologi
mtek200,Praksisutplassering i Medisinsk Teknologi
mtek320,Flow kjemi og teknologi
mtek330,Kvalitetssikring av kjemiske analysar
mtek399,Masteroppgåve i medisinsk teknologi
mudi201,Musikkdidaktikk 1
mudi202,Musikkdidaktikk 2
muf101,"Musikk, kultur og samfunn"
muf202,Improvisasjon
muf203,Folkemusikkutøving
mug105,Music in World Cultures
mug107,Musikkteori I
mug110,Musikkteori I - jazz
mug111,Musikkteori II - jazz
mug112,Musikkteori fordjuping
mug117,Musikkhistorie klassisk
mug118,Musikkhistorie jazz
mug119,"Examen Facultatum, Akademisk skriving for Bachelorprogram i utøvande musikk eller komposisjon"
mug140,Hovudinstrument klassisk 1
mug141,Hovudinstrument klassisk 2
mug142,Hovudinstrument jazz 1
mug143,Hovudinstrument jazz 2
mug144,Hovuddisiplin komposisjon 1 
mug145,Hovuddisiplin komposisjon 2
mug150,"Utøvande støttedisiplin, bruksklaver, notebasert"
mug151,"Utøvande støttedisiplin, bruksinstrument, akkordbasert"
mug153,"Utøvande støttedisiplin, trommer/rytmikk"
mug160,"Utøvande støttedisiplin, ensembleleiing"
muint201,Hovudinstrument for utvekslingsstudentar
muint202,Prosjektarbeid for utvekslingsstudentar
mupra210,"Praksis for Praktisk-pedagogisk utdanning, musikk (heiltid)"
mupra211,"Praksis for Praktisk-pedagogisk utdanning, musikk (deltid)"
muse620,Å forske i og på museum
muse621,Vitskapleg publisering for museumstilsette
mutp100,Innføring i musikkterapi
mutp102,Musikkterapeutisk bruksmusikk
mutp103,Musikkterapiteori
mutp104,Musikkering (Musicking)
mutp105,Samspel i musikkterapigrupper
mutp111,Musikk og hjerne
mutp200,Basisinstrument
mutp202,Samfunnsmusikkterapi
mutp205,Innføring i musikkterapeutisk praksis
mutp206,Musikkterapeutisk teoriutvikling
mutp207,Kreativ stemmebruk i musikkterapi
mutp300,Musikkterapi i barn og unges oppvekst
mutp302,Musikkterapeutisk improvisasjon
mutp303,Musikkterapeutisk profesjonskunnskap
mutp305,Musikkterapi i helsesektoren I
mutp306,Musikkterapi i helsesektoren II
mutp312,Musikkterapeutisk forskingsmetode
mutp313,Musikkterapi særemne
mutp350,Masteroppgåve i musikkterapi
mutp360,Masteroppgåve i musikkterapi
mutp640,"Musikk som verktøy i førebyggande arbeid med barn og unge, del 1: Innføring"
mutp641,"Musikk som verktøy i forebyggende arbeid med barn og unge, del 2: Samarbeidsformer"
mutp661,Vidareutdanning for musikkterapeutar i eldreomsorg
mutpra101,Musikkterapipraksis 1
mutpra102,Musikkterapipraksis 2
mutpra201,Musikkterapipraksis 3
mutpra301,Musikkterapipraksis 4
mutpra302,Musikkterapipraksis 5
mutpra303,Musikkterapipraksis fordjuping
muv211,Ensembleleiing korps
muv214,Ensemblefordjupning/Kammermusikk I
muv215,Ensemblefordjupning/Kammermusikk II
muv225,Akkompagnement I
muv226,Akkompagnement II
muv227,Biinstrument A
muv228,Biinstrument B
muv229,Biinstrument påbygging
muv236,Musikkformidling
muv242,Barokkmusikkens historie og idégrunnlag
muv243,Musikkdramatikk
muv245,Musikkdramatikk påbygging
muv246,"Tidleg musikk, ensemble I"
muv247,"Tidleg musikk, ensemble II"
muv250,Samtidsmusikk fordjuping
muv251,Prosjektarbeid 1
muv252,Prosjektarbeid 2
muv253,Prosjektarbeid 3
muv254,Prosjektarbeid 4
muv273,Korleiing
muv276,Arrangering/Instrumentasjon
muv277,Kontrapunkt/Generalbass
muv280,Popular Music Studies
muv282,Musikkhistorie fordjupning
muv290,Hovudinstrument klassisk 3
muv291,Hovudinstrument klassisk 4
muv292,Hovudinstrument jazz 3
muv293,Hovudinstrument jazz 4
muv294,Hovuddisiplin komposisjon 3
muv295,Hovuddisiplin komposisjon 4
muv296,"Utøvande støttedisiplin, profesjonskunnskap"
muv297,"Utøvande støttedisiplin, kritisk refleksjon og formidling"
muv301,"Prosjektarbeid I, innføring i arbeidsmetodar"
muv302,Prosjektarbeid II
muv310,Konsertframføring I
muv311,Konsertframføring II
muv315,Spesialemne I for komponistar
muv316,Spesialemne II for komponistar
muv351,Masterprosjekt
muv352,Mastereksamen i utøving eller komposisjon
mvk100,Innføring i musikkvitskap
mvk101,Musikkproduksjon
mvk102,Å skriva om musikk
mvk104,Griegstudier
mvk105,Innføring i norsk folkemusikk
mvk210,"Music, Gender and Sexuality"
mvk230,Russian Music: Concert Hall to Dance Club
mvk250,Bacheloroppgåve i musikkvitskap
n-poc902,Global Ocean and Climate Diplomacy: The Ocean-Climate Nexus
n-poc903,Multidisciplinary Methodologies for Global Challenges: Pacific Research Narratives
nano161,Innføring i nanoteknologi og -instrumentering
nano244,Material- og nanokjemi
nano299,Bachelorprosjekt i Nanoteknologi
nano310,Nanoetikk
nano399,Masteroppgåve i nanovitskap
natdi300,Tilpassa undervisning i naturfag
natdid210,Læring i naturfaga
natdid210-p,Læring i naturfaga
natdid211,Kvalitet i naturfagsundervisninga
natdid212-p,Naturfagsdidaktikk - undervisningskvalitet i teori og praksis
natdid220,Naturfagdidaktikk
natdid220-p,Naturfagdidaktikk
neu201,Nevroestetikk
neurosysm910,Symposium for forskere i tidlig fase
neurosysm920,Neuro-SysMed seminarrekke og symposium
neurosysm930,Anvendt bioinformatikk og data analyse i medisinsk forskning
neurosysm940,The nature of disease and suffering and the goals of precision medicine
nodi100-p,Nordisk fagdidaktikk 1
nodi101,Nordisk fagdidaktikk
nodi111,Fagdidaktikk i nordisk for integrert lektorutdanning
nodi201,Fagdidaktikk i nordisk for integrert lektorutdanning
nodi302,Nordisk fagdidaktikk 3
nofi101,Norrønt språk 
nofi106,Norrøn mytologi
nofi107,Norrøn prosa
nofi110,Norrøne handskriftstudium og runologi
nofi112,Norrøn sagalitteratur
nofi113,Norrøn dikting
nofi201,Norrønt språk 
nofi210,Norrøn filologi særemne
nofi250,Norrøn filologi bacheloroppgåve
nofi300,Norrøn filologi spesialisert emne I
nofi302,Norrøn filologi spesialisert emne II
nofi303,Norrøn filologi spesialisert emne III
nofi350,Norrøn filologi masteroppgåve
noli102,Nordisk: Litteratur etter 1900 
noli102-f,Nordisk: Litteratur etter 1900 (Fjernord)
noli103,Nordisk: Den eldre litteraturen
noli103-f,Nordisk: Den eldre litteraturen (Fjernord)
noli103-l,Nordisk: Den eldre litteraturen for integrert lærarutdanning
noli216,Nordisk: Litterær analyse og teori
noli220,Nordisk: Litterært emne
noli250,Nordisk: Litterær analyse og teori
noli250-l,Nordisk: Litterær analyse og teori med bacheloroppgåve
noli307,Nordisk: Litterær analyse og teori
noli311,Nordisk: Litterært masteremne C
noli312,Nordisk: Litterært masteremne D
noli320,Nordisk: Litterært særemne
noli321,Nordisk: Litterært masteremne A
noli322,Nordisk: Litterært masteremne B
nolisp300,Nordisk: Prosjektførebuande emne
nolisp300-l,Nordisk: Prosjektførebuande emne
nolisp350,Mastergradsoppgåve i nordisk språk og litteratur
nom,Medisinsk nomenklaturlære
nor-intro,Kort innføringskurs i norsk språk
nor-nyn,Nynorsk for utanlandske studentar
nor-u1,"Kurs i norsk språk og kultur for framandspråklege studentar, trinn 1"
nor-u12,"Kurs i norsk språk og kultur for framandspråklege studentar, trinn 1+2"
nor-u2,"Kurs i norsk språk og kultur for framandspråklege studentar,  trinn 2"
nor-u3,"Kurs i norsk språk og kultur for framandspråklege studentar, trinn 3"
